Product,Manufacturing_Date,Initial_Shelf_Life,Storage_Temperature,Storage_Humidity,Days_in_Transit,Remaining_Shelf_Life
Bread,2023-04-10,49,8.9,56.7,4,45.6
Juice,2023-03-09,54,10.3,64.9,3,43.8
Cheese,2023-05-13,29,7.4,54.6,3,32.0
Juice,2023-04-30,12,4.5,60.7,6,13.5
Juice,2023-02-06,52,5.8,47.6,8,41.0
Milk,2023-03-13,56,8.6,71.6,7,38.8
Cheese,2023-05-07,50,8.6,66.7,1,50.5
Cheese,2023-04-16,49,8.7,57.1,6,38.5
Cheese,2023-04-02,51,9.6,55.3,7,34.0
Juice,2023-01-31,27,8.0,66.4,7,18.6
Bread,2023-05-02,29,8.8,52.9,9,13.8
Cheese,2023-05-17,49,7.9,61.3,5,40.7
Juice,2023-02-20,22,11.4,71.6,1,16.2
Milk,2023-01-29,53,12.3,51.9,2,48.4
Bread,2023-02-09,59,4.4,63.7,4,64.3
Milk,2023-02-10,21,7.2,63.2,5,19.5
Bread,2023-01-11,31,8.1,59.0,9,13.3
Juice,2023-05-31,42,7.2,55.0,1,56.4
Yogurt,2023-01-01,17,13.4,72.1,3,11.5
Bread,2023-02-15,57,8.7,54.0,5,48.6
Milk,2023-04-11,21,5.6,41.9,3,28.1
Juice,2023-05-29,10,9.8,66.4,4,8.3
Bread,2023-03-31,27,8.8,48.0,3,27.7
Yogurt,2023-04-20,19,8.9,66.9,4,16.1
Yogurt,2023-06-13,28,13.4,73.3,1,19.0
Cheese,2023-02-26,25,9.1,66.3,8,13.6
Cheese,2023-01-01,40,7.1,70.7,4,33.3
Milk,2023-03-04,20,2.1,80.2,7,12.0
Bread,2023-02-24,10,7.5,69.7,2,10.2
Bread,2023-04-25,54,11.9,63.3,2,46.1
Cheese,2023-06-17,59,7.7,76.3,6,40.6
Bread,2023-05-23,58,1.3,77.5,2,70.0
Bread,2023-05-29,52,6.5,77.7,6,37.0
Yogurt,2023-06-24,33,11.0,55.1,2,30.4
Cheese,2023-02-22,35,9.6,46.5,4,35.7
Juice,2023-05-17,53,5.5,54.5,7,42.6
Cheese,2023-06-29,34,6.3,67.0,8,20.5
Juice,2023-02-26,41,6.8,61.6,3,40.8
Yogurt,2023-04-27,14,6.0,57.9,9,11.3
Milk,2023-06-03,22,1.9,65.6,2,30.9
Bread,2023-06-18,48,10.3,45.3,8,32.6
Yogurt,2023-02-04,42,11.8,61.4,8,23.9
Bread,2023-03-04,36,3.4,71.2,4,34.8
Milk,2023-01-25,24,11.7,65.5,1,21.8
Milk,2023-03-31,8,7.7,66.9,1,8.4
Yogurt,2023-03-16,55,11.7,76.0,2,42.0
Milk,2023-02-07,19,8.1,59.3,9,10.8
Juice,2023-05-10,10,8.4,53.5,2,10.4
Milk,2023-05-15,32,9.1,71.9,2,29.6
Bread,2023-06-11,31,5.6,71.7,6,26.0
Bread,2023-04-01,36,11.6,65.6,7,18.7
Bread,2023-01-17,17,4.6,58.4,7,14.4
Bread,2023-05-08,13,6.8,60.0,9,5.9
Juice,2023-06-20,37,9.6,47.2,6,25.3
Cheese,2023-04-18,50,6.5,71.1,8,31.5
Yogurt,2023-06-28,16,10.3,70.8,6,11.2
Bread,2023-06-01,45,12.1,46.9,2,43.8
Milk,2023-01-25,19,11.0,68.7,1,12.9
Bread,2023-06-29,37,2.2,64.0,5,38.7
Milk,2023-03-29,13,8.4,49.8,9,3.7
Milk,2023-06-10,55,11.1,47.9,8,36.6
Bread,2023-06-26,48,4.0,63.7,4,49.4
Juice,2023-01-29,48,10.2,56.0,5,40.7
Milk,2023-03-04,42,10.0,78.2,5,28.5
Milk,2023-05-30,26,4.4,69.5,6,20.1
Bread,2023-06-03,10,10.5,64.7,3,6.1
Milk,2023-06-05,13,8.8,65.2,5,10.9
Milk,2023-04-24,7,10.0,73.3,2,4.2
Bread,2023-02-18,50,5.1,68.5,1,59.9
Bread,2023-03-22,51,8.5,65.0,1,52.9
Yogurt,2023-03-25,48,2.9,50.2,7,44.1
Juice,2023-04-15,53,1.2,90.6,2,48.3
Juice,2023-06-26,19,8.4,49.0,4,19.7
Milk,2023-05-28,28,11.3,56.9,5,19.6
Juice,2023-04-28,27,8.8,43.5,7,20.6
Milk,2023-03-27,28,7.8,65.4,2,30.0
Yogurt,2023-03-04,34,7.4,61.5,6,29.6
Bread,2023-04-14,15,5.2,67.7,1,17.4
Bread,2023-02-18,32,7.3,42.6,7,27.3
Bread,2023-03-12,15,9.3,71.1,9,8.2
Juice,2023-01-01,21,6.7,51.9,5,18.1
Yogurt,2023-05-21,16,10.3,58.5,5,12.8
Juice,2023-06-28,30,8.6,69.3,4,25.6
Juice,2023-05-03,48,9.0,62.6,3,45.8
Yogurt,2023-03-03,14,10.7,63.3,9,2.9
Yogurt,2023-02-01,30,6.4,68.0,5,24.1
Yogurt,2023-06-07,22,10.0,64.3,8,10.6
Yogurt,2023-01-29,55,6.8,56.6,9,35.2
Bread,2023-02-18,32,9.0,58.3,5,27.5
Cheese,2023-06-22,33,6.1,62.1,9,23.5
Cheese,2023-01-30,43,5.3,51.0,2,55.9
Yogurt,2023-05-24,10,8.3,70.0,9,4.1
Cheese,2023-06-17,56,2.3,62.9,4,67.3
Cheese,2023-01-19,30,7.1,60.7,6,25.2
Yogurt,2023-01-18,25,3.2,71.9,6,24.1
Cheese,2023-01-01,42,10.3,58.8,6,30.3
Juice,2023-03-19,45,11.2,58.2,2,38.9
Milk,2023-04-25,16,5.4,55.2,7,11.0
Milk,2023-06-24,31,9.3,63.4,6,19.0
Yogurt,2023-04-23,24,10.7,63.1,1,24.3
Bread,2023-04-24,25,10.7,53.3,2,27.1
Yogurt,2023-06-15,42,8.6,58.2,7,33.6
Bread,2023-06-28,16,10.2,53.4,1,19.0
Milk,2023-03-04,39,6.1,53.0,1,54.4
Yogurt,2023-05-12,56,8.2,42.7,1,73.0
Juice,2023-05-09,11,6.6,57.7,8,5.5
Cheese,2023-01-08,53,5.8,43.0,4,65.7
Bread,2023-06-06,55,8.1,55.4,4,54.1
Cheese,2023-02-24,41,9.0,53.9,2,44.4
Cheese,2023-04-13,50,11.5,70.5,1,42.9
Yogurt,2023-05-11,40,8.8,49.9,9,25.2
Cheese,2023-02-01,39,9.9,52.4,7,29.9
Juice,2023-01-10,27,10.0,56.2,4,26.0
Cheese,2023-04-20,23,16.1,54.2,6,12.5
Yogurt,2023-06-11,28,2.6,73.7,2,34.5
Juice,2023-05-04,54,5.9,48.6,7,48.9
Milk,2023-03-28,43,12.4,56.2,2,36.3
Cheese,2023-02-24,21,6.9,63.3,8,15.4
Yogurt,2023-02-01,41,10.7,68.8,8,18.2
Milk,2023-06-27,34,8.7,56.2,1,40.9
Milk,2023-05-15,13,14.3,40.8,8,4.5
Bread,2023-04-03,38,4.7,58.5,2,48.7
