Feature,Importance
Initial_Shelf_Life,391
Temp_Transit_Interaction,389
Humidity_Transit_Interaction,384
Temp_Humidity_Interaction,370
Storage_Humidity,320
Product_Age,206
Age_Temp_Interaction,194
Storage_Temperature,189
Age_Ratio,165
Environmental_Risk,118
Day_of_Week,85
Days_in_Transit,47
Is_Dairy,42
Product_Cheese,12
Product_Yogurt,10
Product_Juice,10
Product_Milk,9
Product_Bread,7
Shelf_Life_Medium,6
Month,2
Is_Weekend,0
Humidity_Risk_Score,0
Temp_Risk_Score,0
Season,0
Temp_Z_Score,0
High_Humidity_Flag,0
Long_Transit_Flag,0
Humidity_Percentile,0
High_Temp_Flag,0
Shelf_Life_Short,0
Shelf_Life_Long,0
Risk_Low,0
Risk_Medium,0
