Feature,Importance
Initial_Shelf_Life,0.47679842
Temp_Transit_Interaction,0.2889371
Humidity_Transit_Interaction,0.10719907
Temp_Humidity_Interaction,0.05350134
Environmental_Risk,0.026065746
Storage_Humidity,0.014417848
Days_in_Transit,0.0071066204
Storage_Temperature,0.0054416517
Product_Age,0.0028297247
Is_Dairy,0.0025886125
Age_Temp_Interaction,0.00233384
Humidity_Risk_Score,0.0021737665
Age_Ratio,0.0021509915
Product_Juice,0.0018653065
Day_of_Week,0.0018141255
Product_Bread,0.001390711
Product_Milk,0.0013208325
Product_Cheese,0.0009044574
Product_Yogurt,0.00078787474
Shelf_Life_Medium,0.0003720461
Is_Weekend,0.0
Temp_Risk_Score,0.0
Month,0.0
Season,0.0
Temp_Z_Score,0.0
High_Humidity_Flag,0.0
Long_Transit_Flag,0.0
Humidity_Percentile,0.0
High_Temp_Flag,0.0
Shelf_Life_Short,0.0
Shelf_Life_Long,0.0
Risk_Low,0.0
Risk_Medium,0.0
